MLP,Patente,Altura,Ancho,Largo,Modelo,A̱o,Largo Carga,Superficie Carga m3,Cantidad de Pallet,Capacidad de carga M3,Altura Carga,Ancho Carga,Tipo,SI
Dos Haches,OKC294,2.4,1.85,5.2,KIA K2500,2014,3.4,6.29,2.805,6.732,1.2,1.65,Utilitario Largo,Si
Dos Haches, JHW019,2.8,1.53,5.1,KIA K2500,2010,3.3,5.049,2.926,7.0224,1.6,1.33,Utilitario Largo,Si
Dos Haches,AB304TY,2.7,2,5.1,JMC N-601,2017,3.1,6.2,3.4875,8.37,1.5,1.8,Utilitario Largo,Si
Intermedio,DXB349,2.68,2,5.7,MERCEDES BENZ SPRINTER 312 D / C3550,2001,3.7,7.4,4.107,9.8568,1.48,1.8,Utilitario Largo,Si
MAMAN SRL,ORB036,2.8,1.8,5.7,KIA K2500,2015,3.9,07.02,5.72,13.728,2.2,1.6,Chasis Liviano,Si
Iflow,PKB209,2.5,2,6.3,MERCEDES BENZ SPRINTER 415 CDI-CH 3665,2015,4.3,8.6,4.1925,10.062,1.3,1.8,Utilitario Largo,Si
ELOG,AA027PX,2.3,2.4,6.7,MERCEDES BENZ SPRINTER 515 CDI-CH 4325,2016,4.7,11.28,4.739.166.667,11.374,1.1,2.2,Chasis Liviano,Si
Flashbox Delivery,BAK763,2.5,2.2,6.4,DEUTZ AGRALE DYNAMIC 10,1996,4.4,9.68,4.766.666.667,11.44,1.3,2,Chasis Liviano,Si
Intermedio,LCO800,2.7,2.25,5.75,RENAULT MASTER PH3 120 PKCNF,2012,3.75,8.4375,48.046.875,1.153.125,1.5,02.05,Chasis Liviano,Si
Dos Haches,FYR601,3,02.05,5.8,MERCEDES BENZ SPRINTER 313 CDI/CH 3550,2007,3.8,7.79,5.2725,12.654,1.8,1.85,Chasis Liviano,Si
Chazki,MGL728,2.27,2.4,7.4,HYUNDAI HD78,2013,5.4,12.96,5.2965,12.7116,01.07,2.2,Chasis Liviano,Si
Flashbox Delivery,UOV338,3.5,2.2,5.3,MERCEDES BENZ L608/35,1982,3.3,7.26,5.5,13.2,2,2,Chasis Liviano,Si
Flashbox Delivery,FKH704,3,2.1,5.9,MERCEDES BENZ SPRINTER 311 CDI CH 3550,2006,3.9,8.19,5.5575,13.338,1.8,1.9,Chasis Liviano,Si
Flashbox Delivery,FMI558,2.6,2.35,6.4,IVECO 119 DAILY 35.10,2006,4.4,10.34,5.646.666.667,13.552,1.4,2.2,Chasis Liviano,Si
ANDESMAR,BVF540,2.8,2.3,6.1,YUEJIN NJ1062DE,1998,4.1,9.43,5.74,13.776,1.6,2.1,Chasis Liviano,Si
Global Truck,NBR203,2.7,02.05,7,MERCEDES BENZ 515 CDI CH 4325,2013,5,10.25,578.125,13.875,1.5,1.85,Chasis Liviano,Si
Iflow,SAT016,2.8,2.25,6.3,DEUTZ AGRALE DYNAMIC C-11,1994,4.3,9.675,5.876.666.667,14.104,1.6,02.05,Chasis Liviano,Si
Flashbox Delivery,OCM103,3,2,6.5,FORD TRANSIT 125 T 460 C/AC,2014,4.5,9,6.075,14.58,1.8,1.8,Chasis Liviano,Si
ELOG,FHR147,2.81,2.2,6.6,MERCEDES BENZ 710,2000,4.6,10.12,6.171.666.667,14.812,1.61,2,Chasis Liviano,Si
Iflow,AE834FI,3.1,2.2,6,FORD TRANSIT 2.2,2021,4,8.8,6.333.333.333,15.2,1.9,2,Chasis Liviano,Si
EntregAR,WSA873,3,2.1,6.5,MERCEDES BENZ L710D/37,1994,4.5,9.45,6.4125,15.39,1.8,1.9,Chasis Liviano,Si
Global Truck,IMH177,2.75,2.15,7.1,IVECO DAILY 55C16 PASO 3750,2009,5.1,10.965,64.228.125,1.541.475,1.55,1.95,Chasis Liviano,Si
Intermedio,AD141OI,3.2,2.11,06.05,RENAULT NUEVO MASTER CC,2018,04.05,8.5455,644.625,15.471,2,1.91,Chasis Liviano,Si
Intermedio,PFK082,3,2.2,6.3,MERCEDES BENZ SPRINTER 415 CDI/CH 3665,2015,4.3,9.46,6.45,15.48,1.8,2,Chasis Liviano,Si
Intermedio,UPE299,3,2.3,6.1,MERCEDES BENZ 608/350 D,1975,4.1,9.43,6.4575,15.498,1.8,2.1,Chasis Liviano,Si
Global Truck,TYJ772,3.1,2.2,6.1,MERCEDES BENZ L608D/35,1981,4.1,09.02,6.491.666.667,15.58,1.9,2,Chasis Liviano,Si
Flashbox Delivery,RCL845,3,2.25,6.25,MERCEDES BENZ L608 D,1971,4.25,9.5625,6.534.375,156.825,1.8,02.05,Chasis Liviano,Si
ELOG,BTZ140,3.36,2.3,5.8,DAIHATSU DELTA V116,1998,3.8,8.74,6.65,15.96,2,2.1,Chasis Liviano,Si
Flashbox Delivery,JRY772,2.95,2.2,6.6,IVECO DAILY 35C14 PASO 3750,2011,4.6,10.12,6.708.333.333,16.1,1.75,2,Chasis Liviano,Si
Intermedio,AAL238,3.12,2.26,6.1,TATA 608/37,1995,4.1,9.266,6.7568,1.621.632,1.92,02.06,Chasis Liviano,Si
ELOG,TWF286,3.15,2.22,6.15,MERCEDES BENZ L 608D/35,1985,4.15,9.213,68.111.875,1.634.685,1.95,02.02,Chasis Liviano,Si
ELOG,HYA473,2.9,2.3,6.6,MERCEDES BENZ SPRINTER 413 CDI/CH 4025,2009,4.6,10.58,6.8425,16.422,1.7,2.1,Chasis Liviano,Si
ELOG,BTW231,3,2.2,6.6,IVECO TURBO DAILY 49.10,1998,4.6,10.12,6.9,16.56,1.8,2,Chasis Liviano,Si
Dos Haches,ROB562,3.2,2.2,6.15,MERCEDES BENZ L 608D/35,1978,4.15,9.13,6.916.666.667,16.6,2,2,Chasis Liviano,Si
Intermedio,AA827CP,2.83,2.3,6.85,MERCEDES BENZ SPRINTER 515 CDI-CH 4325,2017,4.85,11.155,69.173.125,1.660.155,1.63,2.1,Chasis Liviano,Si
ELOG,BBM759,2.8,2.3,7.1, CHEVROLET NPR 66PL-5LXY,1996,5.1,11.73,7.14,17.136,1.6,2.1,Chasis Liviano,Si
ELOG,CXX157,3.25,2.3,6.1,YUEJIN NJ1035DER,1999,4.1,9.43,7.175,17.22,2,2.1,Chasis Liviano,Si
Flashbox Delivery,DFI783,3,2.2,6.8,MERCEDES BENZ 712C,2000,4.8,10.56,7.2,17.28,1.8,2,Chasis Liviano,Si
Flashbox Delivery,AA708ZY,3.1,2.1,6.8,IVECO DAILY 35C15 PASO 3750,2016,4.8,10.08,7.22,17.328,1.9,1.9,Chasis Liviano,Si
EntregAR,DEZ455,3,2.3,6.6,IVECO TURBO DAILY 59.12,2000,4.6,10.58,7.245,17.388,1.8,2.1,Chasis Liviano,Si
Intermedio,CYM965,3,2.1,7.1,MERCEDES BENZ 712C,1999,5.1,10.71,7.2675,17.442,1.8,1.9,Chasis Liviano,Si
ELOG,GJD162,3,2.22,6.87,FORD 915,2007,4.87,10.8114,737.805,1.770.732,1.8,02.02,Chasis Liviano,Si
Flashbox Delivery,IHX433,3,2.25,6.8,MERCEDES BENZ SPRINTER 413 CDI CH 4025,2009,4.8,10.8,7.38,17.712,1.8,02.05,Chasis Liviano,Si
Intermedio,KFM473,3,2.3,6.7,IVECO DAILY 35C14 PASO 3750,2011,4.7,10.81,7.4025,17.766,1.8,2.1,Chasis Liviano,Si
Chazki,BCZ580,2.95,2.2,7.1,CHEVROLET NPR 66PL-SLXY,1996,5.1,11.22,7.4375,17.85,1.75,2,Chasis Liviano,Si
Iflow,ADA521,3.15,2.2,6.6,IVECO DAILY 49-10,1995,4.6,10.12,7.475,17.94,1.95,2,Chasis Liviano,Si
Iflow,KRS178,2.8,2.6,7.1,MERCEDES BENZ 710,2011,5.1,13.26,7.48,17.952,1.6,2.2,Chasis Liviano,Si
Iflow,SFT338,3.1,2.3,6.5,MERCEDES BENZ L710/37,1994,4.5,10.35,748.125,17.955,1.9,2.1,Chasis Liviano,Si
ELOG,TZC447,3.1,2.4,6.3,MERCEDES BENZ L608D/35,1987,4.3,10.32,7.489.166.667,17.974,1.9,2.2,Chasis Liviano,Si
MAMAN SRL,SRB095,3,2.2,7,MERCEDES BENZ L710/42,1992,5,11,7.5,18,1.8,2,Chasis Liviano,Si
Intermedio,FPB737,2.92,2.34,6.8,IVECO DAILY 35.10,2006,4.8,11.232,7.568,181.632,1.72,2.2,Chasis,Si
ELOG,AVA498,3,2.4,6.6,MERCEDES BENZ BM 688 VERSION 710,1996,4.6,11.04,7.59,18.216,1.8,2.2,Chasis,Si
Intermedio,DZV123,3,2.4,6.6,IVECO DAILY 59.12,2002,4.6,11.04,7.59,18.216,1.8,2.2,Chasis,Si
Iflow,AB217PP,3.1,2.2,6.8,MERCEDES BENZ SPRINTER 515 CDI-CH 4325,2017,4.8,10.56,7.6,18.24,1.9,2,Chasis,Si
Flashbox Delivery,ARS769,03.05,2.3,6.7,MERCEDES BENZ L 709/37,1996,4.7,10.81,7.608.125,182.595,1.85,2.1,Chasis,Si
Intermedio,MRK315,3,2.4,6.67,IVECO 35C14 PASO 3750,2013,4.67,11.208,7.7055,184.932,1.8,2.2,Chasis,Si
ELOG,AE736JM,3.13,2.21,6.8,FORD TRANSIT CH 2.2L 47OE,2021,4.8,10.608,7.7586,1.862.064,1.93,02.01,Chasis,Si
Intermedio,PKA592,3,2.2,7.2,IVECO 35C14 PASO 3750,2015,5.2,11.44,7.8,18.72,1.8,2,Chasis,Si
Promail,AQR788,03.05,2.45,6.6,DEUTZ AGRALE DYNAMIC 10,1996,4.6,11.27,7.800.833.333,18.722,1.85,2.2,Chasis,Si
Iflow,AC735CE,3.1,2.3,6.7,IVECO DAILY 35C15 PASO 3750,2018,4.7,10.81,781.375,18.753,1.9,2.1,Chasis,Si
Flashbox Delivery,MKX196,3.3,2.2,6.7,MERCEDES BENZ SPRINTER 415 CDI CH 3665,2013,4.7,10.34,7.833.333.333,18.8,2,2,Chasis,Si
Intermedio,AE272IG,3,2.35,6.75,IVECO DAILY 35C15 PASO 3750,2020,4.75,11.1625,7.8375,18.81,1.8,2.2,Chasis,Si
Intermedio,BST414,3,2.3,7,MERCEDES BENZ 914,1997,5,11.5,7.875,18.9,1.8,2.1,Chasis,Si
Flashbox Delivery,TJJ322,3.7,2.4,6.3,MERCEDES BENZ L710,1992,4.3,10.32,7.883.333.333,18.92,2,2.2,Chasis,Si
Chazki,WHN207,03.05,2.33,6.65,MERCEDES BENZ L710,1992,4.65,10.8345,7.885.625,189.255,1.85,2.2,Chasis,Si
Promail,OKS614,3.12,2.3,6.7,IVECO DAILY 55C16 PASO 3750,2014,4.7,10.81,7.896,189.504,1.92,2.1,Chasis,Si
ELOG,PAI030,3,2.35,6.8,MERCEDES BENZ 710,2015,4.8,11.28,7.92,19.008,1.8,2.2,Chasis,Si
ELOG,LWD507,3,2.2,7.3,MERCEDES BENZ SPRINTER 515 CDI/CH 4325,2012,5.3,11.66,7.95,19.08,1.8,2,Chasis,Si
Flashbox Delivery,AC925AD,3.1,2.1,7.3,MERCEDES BENZACCELO 815,2018,5.3,11.13,7.972.083.333,19.133,1.9,1.9,Chasis,Si
Flashbox Delivery,CZY643,3.3,2.2,6.8,MERCEDES BENZ 712C,1999,4.8,10.56,8,19.2,2,2,Chasis,Si
MAMAN SRL,AB150LC,3.1,2.3,6.85,IVECO 420 DAILY 55C17 PASO 3750,2017,4.85,11.155,8.063.125,193.515,1.9,2.1,Chasis,Si
Iflow,AC984KT,3.2,2.1,7.1,IVECO DAILY 35C15 PASO 3750,2018,5.1,10.71,8.075,19.38,2,1.9,Chasis,Si
Chazki,DLJ847,3,2.6,7,MERCEDES BENZ 710,2000,5,13,8.25,19.8,1.8,2.2,Chasis,Si
Fast Track,SRB091,3,2.45,7,MERCEDES BENZ L709,1992,5,12.25,8.25,19.8,1.8,2.2,Chasis,Si
ADDING,UIQ989,3.1,2.3,7,MERCEDES BENZ L608D/35,1986,5,11.5,8.3125,19.95,1.9,2.1,Chasis,Si
ELOG,UAL149,3.1,2.2,7.25,MERCEDES BENZ L608 D 350,1987,5.25,11.55,8.3125,19.95,1.9,2,Chasis,Si
ELOG,ECU998,3.35,2.2,7,MERCEDES BENZ 710,2003,5,11,8.333.333.333,20,2,2,Chasis,Si
Intermedio,SCE316,3.2,2.2,7,MERCEDES BENZ 912/42,1994,5,11,8.333.333.333,20,2,2,Chasis,Si
ELOG,ARC118,3.4,2.4,6.6,MERCEDES BENZ L709/37,1996,4.6,11.04,8.433.333.333,20.24,2,2.2,Chasis,Si
ELOG,OIR317,3.1,2.35,6.85,MERCEDES BENZ 710,2014,4.85,11.3975,8.447.083.333,20.273,1.9,2.2,Chasis,Si
Promail,TPP981,3.35,2.2,7.1,MERCEDES BENZ LFU 608 D41,1980,5.1,11.22,8.5,20.4,2,2,Chasis,Si
Intermedio,OWU067,3,2.3,7.4,IVECO DAILY 70C16 PASO 4350,2015,5.4,12.42,8.505,20.412,1.8,2.1,Chasis,Si
ADDING,GLG 955,3.1,2.4,6.9,MERCEDES BENZ 710,2007,4.9,11.76,8.534.166.667,20.482,1.9,2.2,Chasis,Si
Iflow,LSS076,3.12,2.34,6.86,IVECO DAILY 35C15 PASO 3750,2012,4.86,11.3724,8.5536,2.052.864,1.92,2.2,Chasis,Si
Iflow,DGE903,3,2.5,7.2,MERCEDES BENZ LO 814,2000,5.2,13,8.58,20.592,1.8,2.2,Chasis,Si
Promail,FRV789,3.3,2.4,6.7,IVECO DAILY 35-10,2006,4.7,11.28,8.616.666.667,20.68,2,2.2,Chasis,Si
Chazki,KNU639,3.1,2.3,7.2,AGRALE 8500,2011,5.2,11.96,8.645,20.748,1.9,2.1,Chasis,Si
ELOG,DFL672,3.35,2.5,6.75,MERCEDES BENZ 710,2000,4.75,11.875,8.708.333.333,20.9,2,2.2,Chasis,Si
Iflow,EBW209,3,2.35,7.3,IVECO DAILY 60 12,2003,5.3,12.455,8.745,20.988,1.8,2.2,Chasis,Si
Promail,LGJ052,3.2,2.3,7,IVECO DAILY 35C14 PASO 3750,2012,5,11.5,8.75,21,2,2.1,Chasis,Si
Flashbox Delivery,KFE156,3.2,2.4,6.8,MERCEDES BENZ 710,2011,4.8,11.52,8.8,21.12,2,2.2,Chasis,Si
Iflow,LMO768,3.2,2.5,6.8,IVECO DAILY 35C15 PASO 3750,2012,4.8,12,8.8,21.12,2,2.2,Chasis,Si
Iflow,AC925AD,3.1,2.3,7.3,MERCEDES BENZ ACCELO 815,2018,5.3,12.19,881.125,21.147,1.9,2.1,Chasis,Si
MAMAN SRL,OJF425,3.25,2.2,7.3,MERCEDES BENZ 710,2014,5.3,11.66,8.833.333.333,21.2,2,2,Chasis,Si
Intermedio,DFZ915,3.1,2.5,7.1,MERCEDES BENZ 712C,2000,5.1,12.75,8.8825,21.318,1.9,2.2,Chasis,Si
Intermedio,GMC796,3.1,2.4,7.1,MERCEDES BENZ ACCELO 915,2007,5.1,12.24,8.8825,21.318,1.9,2.2,Chasis,Si
Flashbox Delivery,SRF878,4.1,2.5,6.9,MERCEDES BENZ L608/35,1983,4.9,12.25,8.983.333.333,21.56,2,2.2,Chasis,Si
Iflow,AE345CH,3.2,2.2,7.4,MERCEDES BENZ ACCELO 1016,2020,5.4,11.88,9,21.6,2,2,Chasis,Si
Iflow,AB676OV,3.15,2.3,7.3,MERCEDES BENZ ACCELO 815,2017,5.3,12.19,9.043.125,217.035,1.95,2.1,Chasis,Si
EntregAR,AOI675,3.2,2.25,7.3,MERCEDES BENZ BM 688 VERSION 710/95,1995,5.3,11.925,9.054.166.667,21.73,2,02.05,Chasis,Si
Dos Haches,AB263KK,3.2,2.3,7.2,MERCEDES BENZ ACCELO 815,2017,5.2,11.96,9.1,21.84,2,2.1,Chasis,Si
Iflow,AA159OH,3.2,2.3,7.2,MERCEDES BENZ ACCELO 815,2016,5.2,11.96,9.1,21.84,2,2.1,Chasis,Si
Iflow,AA590NR,3.2,2.3,7.2,MERCEDES BENZ ACCELO 815,2016,5.2,11.96,9.1,21.84,2,2.1,Chasis,Si
Iflow,AB263KK,3.2,2.3,7.2,MERCEDES BENZ ACCELO 815,2017,5.2,11.96,9.1,21.84,2,2.1,Chasis,Si
Iflow,AD541PR,3.2,2.3,7.2,MERCEDES BENZ ACCELO 815,2019,5.2,11.96,9.1,21.84,2,2.1,Chasis,Si
Dos Haches,JIO908,3.1,2.6,7.3,FORD CARGO 915E,2010,5.3,13.78,9.230.833.333,22.154,1.9,2.2,Chasis,Si
Flashbox Delivery,ALW709,3.1,2.4,7.3,MERCEDES BENZ 913,1995,5.3,12.72,9.230.833.333,22.154,1.9,2.2,Chasis,Si
Chazki,AB105IW,3.2,2.35,07.05,MERCEDES BENZ ACCELO 815,2017,05.05,11.8675,9.258.333.333,22.22,2,2.2,Chasis,Si
Dos Haches,AB105IW,3.2,2.35,07.05,MERCEDES BENZ ACCELO 815,2017,05.05,11.8675,9.258.333.333,22.22,2,2.2,Chasis,Si
Iflow,OWR178,3.33,2.32,7.1,FORD CARGO 915,2015,5.1,11.832,9.35,22.44,2,2.2,Chasis,Si
Promail,AB586HV,3.4,2.5,7.1,AGRALE A10000,2017,5.1,12.75,9.35,22.44,2,2.2,Chasis,Si
ELOG,AA893XK,3.25,2.4,7.15,MERCEDES BENZ ACCELO1016,2017,5.15,12.36,9.441.666.667,22.66,2,2.2,Chasis,Si
TASA LOGISTICA,AC189MO,3.5,2.3,7.4,MERCEDES BENZ ACCELO 1016,2018,5.4,12.42,9.45,22.68,2,2.1,Chasis,Si
TASA LOGISTICA,IVE160,3.2,2.3,7.4,MERCEDES BENZ 710,2010,5.4,12.42,9.45,22.68,2,2.1,Chasis,Si
ELOG,AC848HU,3.3,2.4,7.2,MERCEDES BENZ ACCELO 1016,2018,5.2,12.48,9.533.333.333,22.88,2,2.2,Chasis,Si
MAMAN SRL,MVN975,3.2,2.4,7.2,MERCEDES BENZ 710,2013,5.2,12.48,9.533.333.333,22.88,2,2.2,Chasis,Si
ANDESMAR,MSE591,2.8,2.6,8.55,IVECO 170 E22,2013,6.55,17.03,9.606.666.667,23.056,1.6,2.2,Chasis Pesado,Si
ELOG,AF109JG,2.7,2.5,9,IVECO TECTOR 90-190,2021,7,17.5,9.625,23.1,1.5,2.2,Chasis Pesado,Si
MAMAN SRL,BZN776,3.1,2.3,7.8,DEUTZ STARK-18 CH/LARGO TURBO,1998,5.8,13.34,9.6425,23.142,1.9,2.1,Chasis Pesado,Si
Intermedio,IBX337,3.15,2.32,7.4,AGRALE 7500,2009,5.4,12.528,9.6525,23.166,1.95,2.2,Chasis Pesado,Si
ELOG,DGI097,3.57,2.42,7.3,VOLKSWAGEN 9140,2000,5.3,12.826,9.716.666.667,23.32,2,2.2,Chasis Pesado,Si
ELOG,GLJ911,3.3,2.4,7.3,MERCEDES BENZ 710,2007,5.3,12.72,9.716.666.667,23.32,2,2.2,Chasis Pesado,Si
Iflow,AC658ZD,3.35,2.35,7.3,MERCEDES BENZ ACCELO 815,2018,5.3,12.455,9.716.666.667,23.32,2,2.2,Chasis Pesado,Si
Iflow,AD966KC,3.2,2.35,7.3,MERCEDES BENZ ACCELO 815,2019,5.3,12.455,9.716.666.667,23.32,2,2.2,Chasis Pesado,Si
Dos Haches, AE268KS,3.15,2.3,7.7,IVECO DAILY 70C17 PASO 4350,2020,5.7,13.11,9.725.625,233.415,1.95,2.1,Chasis Pesado,Si
Intermedio,ITB082,3.2,2.4,7.35,MERCEDES BENZ 710,2010,5.35,12.84,9.808.333.333,23.54,2,2.2,Chasis Pesado,Si
Chazki,NSG513,3.3,2.4,7.4,MERCEDES BENZACCELO 915C,2014,5.4,12.96,9.9,23.76,2,2.2,Chasis Pesado,Si
ELOG,GEI901,3.2,2.4,7.4,IVECO DAILY 70-12,2007,5.4,12.96,9.9,23.76,2,2.2,Chasis Pesado,Si
Iflow,NUL935,3.2,2.34,7.4,IVECO DAILY 70C16 PASO 4350,2014,5.4,12.636,9.9,23.76,2,2.2,Chasis Pesado,Si
Flashbox Delivery,OED905,3.3,2.4,7.5,MERCEDES BENZ 710,2014,5.5,13.2,1.008.333.333,24.2,2,2.2,Chasis Pesado,Si
Intermedio,AA722FR,3.2,2.5,7.5,IVECO DAILY 70C16 PASO 4350,2016,5.5,13.75,1.008.333.333,24.2,2,2.2,Chasis Pesado,Si
Iflow,AB576ZK,3.1,2.6,7.8,MERCEDES BENZ ACCELO 815,2017,5.8,15.08,1.010.166.667,24.244,1.9,2.2,Chasis Pesado,Si
Iflow,OSM540,3.5,2.35,7.55,MERCEDES BENZ 710,2015,5.55,130.425,10.175,24.42,2,2.2,Chasis Pesado,Si
ADDING,AQF771,3.8,2.45,7.65,MERCEDES BENZ BM688 VERSION 710,1995,5.65,138.425,1.035.833.333,24.86,2,2.2,Chasis Pesado,Si
ADDING,DIB650,3.5,2.5,7.7,MERCEDES BENZ 1418 R,2000,5.7,14.25,10.45,25.08,2,2.2,Chasis Pesado,Si
Intermedio,SIJ498,3.48,2.52,7.7,MERCEDES BENZ 710,1994,5.7,14.364,10.45,25.08,2,2.2,Chasis Pesado,Si
MAMAN SRL,AC525HP,3.1,2.4,8,AGRALE A10000,2018,6,14.4,10.45,25.08,1.9,2.2,Chasis Pesado,Si
Iflow,LBC840,3.3,2.5,7.8,MERCEDES BENZ 710,2012,5.8,14.5,1.063.333.333,25.52,2,2.2,Chasis Pesado,Si
Iflow,MFB812,3.2,2.5,7.9,FOD CARGO 915 E,2013,5.9,14.75,1.081.666.667,25.96,2,2.2,Chasis Pesado,Si
Iflow,MXJ237,3.5,2.5,8,MERCEDES BENZ ATEGO 1418,2013,6,15,11,26.4,2,2.2,Chasis Pesado,Si
ELOG,EAT808,3.3,2.6,8.1,MERCEDES BENZ 1215 C,2002,6.1,15.86,1.118.333.333,26.84,2,2.2,Chasis Pesado,Si
ELOG,MZQ717,3.5,2.6,8.1,MERCEDES BENZ ATEGO 1418,2013,6.1,15.86,1.118.333.333,26.84,2,2.2,Chasis Pesado,Si
Iflow,MTV637,3.5,2.5,8.1,MERCEDES BENZ ATEGO 1418,2013,6.1,15.25,1.118.333.333,26.84,2,2.2,Chasis Pesado,Si
ELOG,GTW860,3.55,2.6,8.3,FORD CARGO 1517E,2007,6.3,16.38,11.55,27.72,2,2.2,Chasis Pesado,Si
Intermedio,LTG986,3.65,2.6,8.46,IVECO 170 E22,2012,6.46,16.796,1.184.333.333,28.424,2,2.2,Chasis Pesado,Si
ELOG,HXP942,3.35,2.6,8.5,MERCEDES BENZ ATEGO 1315,2009,6.5,16.9,1.191.666.667,28.6,2,2.2,Chasis Pesado,Si
ELOG,AB256UB,3.5,2.6,8.6,MERCEDES BENZ 958 ATEGO 1720 48,2017,6.6,17.16,12.1,29.04,2,2.2,Chasis Pesado,Si
Chazki,AA108AX,3.8,2.6,8.7,MERCEDES BENZ ATEGO 1419,2016,6.7,17.42,1.228.333.333,29.48,2,2.2,Chasis Pesado,Si
Chazki,AD444YA,3.9,2.6,8.75,MERCEDES BENZATEGO 1721 48,2019,6.75,17.55,12.375,29.7,2,2.2,Chasis Pesado,Si
Chazki,NQL197,3.7,2.6,8.9,VOLVO VM210 4X2 R,2014,6.9,17.94,12.65,30.36,2,2.2,Chasis Pesado,Si
Iflow,IPM558,3.4,2.5,8.9,MERCEDES BENZ L1318,2010,6.9,17.25,12.65,30.36,2,2.2,Chasis Pesado,Si
ELOG,FKH756,3.2,2.6,9,MERCEDES BENZ L 1218 EL,2006,7,18.2,1.283.333.333,30.8,2,2.2,Chasis Pesado,Si
Fast Track,EKO173,3.2,2.6,9.2,MERCEDES BENZ L1620,2004,7.2,18.72,13.2,31.68,2,2.2,Chasis Pesado,Si
Dos Haches,KLV580,3.8,2.6,9.4,MERCEDES BENZ L 1624,2011,7.4,19.24,1.356.666.667,32.56,2,2.2,Chasis Pesado,Si
Chazki,AB576RP,3.8,2.6,9.6,MERCEDES BENZ ATEGO 1419,2017,7.6,19.76,1.393.333.333,33.44,2,2.2,Chasis Pesado,Si
Flashbox Delivery,BAP283,3.25,2.45,10,MERCEDES BENZ L1114,1996,8,19.6,1.466.666.667,35.2,2,2.2,Chasis Pesado,Si
ADDING,AB556QA,3.8,2.6,10.4,MERCEDES BENZ Axor 1993,2017,8.4,21.84,15.4,36.96,2,2.2,Chasis Pesado,Si
Iflow,AC427LI,3.8,2.5,11.7,VOLKSWAGEN 17. 190DC,2018,9.7,24.25,1.778.333.333,42.68,2,2.2,Chasis Pesado,Si
Loginter,AA541NF,3,2.55,7.5,AGRALE A8700,2016,5.5,14.025,9.075,21.78,1.8,2.2,Chasis,Si
Loginter,AD980WI,3.3,2.6,7.3,MERCEDES BENZ ACCELO 815,2019,5.3,13.78,9.716.666.667,23.32,2,2.2,Chasis Pesado,Si
Loginter,OZA828,3.3,2.6,9.5,IVECO 170 E22,2015,7.5,19.5,13.75,33,2,2.2,Chasis Pesado,Si
Loginter,AA033WI,3.2,2.34,7.26,AGRALE 8500,2016,5.26,12.3084,9.643.333.333,23.144,2,2.2,Chasis Pesado,Si
Loginter,AB637OC,3.4,2.4,7.7,MERCEDES BENZ ACCELO 815,2017,5.7,13.68,10.45,25.08,2,2.2,Chasis Pesado,Si
Loginter,AC413OZ,3.1,1.9,6.1,CITROEN JUMPER CH 435 L3 HDI 130 MT 6,2018,4.1,7.79,5.517.916.667,13.243,1.9,1.7,Chasis Liviano,Si
Loginter,AC605FC,2.9,2.3,6.7,IVECO DAILY 35C15 PASO 3750,2018,4.7,10.81,699.125,16.779,1.7,2.1,Chasis Liviano,Si
Loginter,AC669LN,3.2,2.3,7.1,MERCEDES BENZ ACCELO 815,2018,5.1,11.73,8.925,21.42,2,2.1,Chasis,Si
Loginter,AD980WY,3.4,2.4,6.9,MERCEDES BENZ ACCELO 815,2019,4.9,11.76,8.983.333.333,21.56,2,2.2,Chasis,Si
Loginter,AE170CF,3,2.35,6.8,FORD TRANSIT CH 2.2L 470E,2020,4.8,11.28,7.92,19.008,1.8,2.2,Chasis,Si
Loginter,AE230WR,3.2,2.4,7,MERCEDES BENZ ACCELO 1016 / 39,2020,5,12,9.166.666.667,22,2,2.2,Chasis,Si
Loginter,AE249ZR,3.4,2.6,7.1,MERCEDES BENZ ACCELO 815,2020,5.1,13.26,9.35,22.44,2,2.2,Chasis,Si
